network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
meanfield,0.05,0.05,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.069779,0.068524,0.068524,0.0,False,0.0,0.0,False
meanfield,0.05,0.05,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.069893,0.068636,0.068636,0.0,False,0.000114,0.000112,False
meanfield,0.05,0.05,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.07493,0.079056,0.071065,0.0,False,0.005151,0.010532,True
meanfield,0.05,0.05,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.092101,0.11733,0.071065,0.0,False,0.022322,0.048806,True
meanfield,0.05,0.05,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.033534,0.035702,0.032811,0.0,False,0.0,0.0,False
meanfield,0.05,0.05,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.033381,0.03564,0.032607,0.0,False,-0.000153,-6.2e-05,False
meanfield,0.05,0.05,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.035633,0.037333,0.033844,0.0,False,0.002099,0.001631,False
meanfield,0.05,0.05,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.044727,0.061185,0.033844,0.0,False,0.011193,0.025483,True
meanfield,0.05,0.05,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.147207,0.161779,0.133231,0.0,False,0.0,0.0,False
meanfield,0.05,0.05,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.14748,0.162259,0.133231,0.0,False,0.000273,0.00048,False
meanfield,0.05,0.05,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.144365,0.156145,0.133231,0.0,False,-0.002842,-0.005634,False
meanfield,0.05,0.05,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.203794,0.292293,0.133231,0.0,False,0.056587,0.130514,True
meanfield,0.05,0.05,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.173769,0.183999,0.163877,0.0,False,0.0,0.0,False
meanfield,0.05,0.05,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.173975,0.184335,0.163877,0.0,False,0.000206,0.000336,False
meanfield,0.05,0.05,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.175806,0.188321,0.163877,0.0,False,0.002037,0.004322,False
meanfield,0.05,0.05,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.233839,0.31738,0.163877,0.0,False,0.06007,0.133381,True
meanfield,0.1,0.1,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.074704,0.078604,0.071065,0.0,False,0.0,0.0,False
meanfield,0.1,0.1,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.074828,0.078742,0.071065,0.0,False,0.000124,0.000138,False
meanfield,0.1,0.1,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.080207,0.090247,0.071065,0.0,False,0.005503,0.011643,True
meanfield,0.1,0.1,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.099085,0.134058,0.071065,0.0,False,0.024381,0.055454,True
meanfield,0.1,0.1,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.035975,0.040854,0.03369,0.0,False,0.0,0.0,False
meanfield,0.1,0.1,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.035811,0.040764,0.033766,0.0,False,-0.000164,-9e-05,False
meanfield,0.1,0.1,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.03819,0.042772,0.033844,0.0,False,0.002215,0.001918,False
meanfield,0.1,0.1,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.048293,0.070185,0.033844,0.0,False,0.012318,0.029331,True
meanfield,0.1,0.1,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.159525,0.18847,0.133231,0.0,False,0.0,0.0,False
meanfield,0.1,0.1,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.159812,0.188992,0.133231,0.0,False,0.000287,0.000522,False
meanfield,0.1,0.1,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.156459,0.182177,0.133231,0.0,False,-0.003066,-0.006293,False
meanfield,0.1,0.1,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.221616,0.336299,0.133231,0.0,False,0.062091,0.147829,True
meanfield,0.1,0.1,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.187165,0.212258,0.163877,0.0,False,0.0,0.0,False
meanfield,0.1,0.1,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.187387,0.212635,0.163877,0.0,False,0.000222,0.000377,False
meanfield,0.1,0.1,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.189404,0.217239,0.163877,0.0,False,0.002239,0.004981,False
