experiment,network_type,alpha_on,kappa_bare,kappa_eff,init_mode,seed,initial_CI,final_CI,mean_CI,min_CI,pct_time_ge_0.75,success,regime
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,3,0.071065,0.061357,0.066137,0.061357,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,5,0.033844,0.032083,0.031741,0.031,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,12,0.133231,0.143064,0.138201,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.01,0.01,random,17,0.163877,0.163828,0.163856,0.163725,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,3,0.071065,0.063079,0.067024,0.063079,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,5,0.033844,0.032949,0.032177,0.031478,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,12,0.133231,0.147536,0.140385,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.02,0.02,random,17,0.163877,0.168676,0.166269,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,3,0.071065,0.068524,0.069779,0.068524,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,5,0.033844,0.035702,0.033534,0.032811,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,12,0.133231,0.161779,0.147207,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.05,0.05,random,17,0.163877,0.183999,0.173769,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,3,0.071065,0.074414,0.072682,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,5,0.033844,0.038704,0.034971,0.033527,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,12,0.133231,0.177331,0.15445,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.08,0.08,random,17,0.163877,0.200535,0.181669,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,3,0.071065,0.078604,0.074704,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,5,0.033844,0.040854,0.035975,0.03369,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,12,0.133231,0.18847,0.159525,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.1,0.1,random,17,0.163877,0.212258,0.187165,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,3,0.071065,0.090081,0.080081,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,5,0.033844,0.046798,0.03866,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,12,0.133231,0.2192,0.173117,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.15,0.15,random,17,0.163877,0.244106,0.201731,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,3,0.071065,0.103134,0.085953,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,5,0.033844,0.053645,0.041613,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,12,0.133231,0.254301,0.188077,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.2,0.2,random,17,0.163877,0.279686,0.217515,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,3,0.071065,0.134772,0.099377,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,5,0.033844,0.070572,0.048443,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,12,0.133231,0.33815,0.222359,0.133231,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.3,0.3,random,17,0.163877,0.362015,0.25282,0.163877,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,3,0.071065,0.22671,0.134491,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,5,0.033844,0.122044,0.066799,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,12,0.133231,0.54531,0.307298,0.133231,0.0,False,partial
formation_kappa_eff_scan,meanfield,False,0.5,0.5,random,17,0.163877,0.563992,0.337532,0.163877,0.0,False,partial
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,3,0.071065,0.463505,0.215013,0.071065,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,5,0.033844,0.271814,0.111892,0.033844,0.0,False,failed
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,12,0.133231,0.810157,0.447938,0.133231,10.1,False,partial
formation_kappa_eff_scan,meanfield,False,0.8,0.8,random,17,0.163877,0.869348,0.485988,0.163877,17.0,False,partial
formation_kappa_eff_scan,lattice,False,0.01,0.01,random,3,0.071065,0.059006,0.064918,0.059006,0.0,False,failed
