network_type,kappa_eff,init_mode,n_seeds,initial_CI_mean,initial_CI_std,mean_CI_mean,mean_CI_std,final_CI_mean,final_CI_std,success_rate
meanfield,0.05,random,8,0.097548,0.042419,0.105625,0.046413,0.114274,0.050542,0.0
meanfield,0.1,random,8,0.097548,0.042419,0.113904,0.050237,0.131982,0.058812,0.0
meanfield,0.2,random,8,0.097548,0.042419,0.133006,0.05901,0.175485,0.078925,0.0
meanfield,0.5,random,8,0.097548,0.042419,0.214881,0.094372,0.383916,0.164419,0.0
lattice,0.05,random,8,0.097548,0.042419,0.106777,0.048742,0.116188,0.05567,0.0
lattice,0.1,random,8,0.097548,0.042419,0.115054,0.054346,0.131982,0.066947,0.0
lattice,0.2,random,8,0.097548,0.042419,0.129604,0.064285,0.157035,0.084756,0.0
lattice,0.5,random,8,0.097548,0.042419,0.160856,0.086182,0.20298,0.117211,0.0
smallworld,0.05,random,8,0.097548,0.042419,0.104863,0.04583,0.112542,0.049682,0.0
smallworld,0.1,random,8,0.097548,0.042419,0.111938,0.049024,0.126891,0.056821,0.0
smallworld,0.2,random,8,0.097548,0.042419,0.126297,0.056047,0.154916,0.072092,0.0
smallworld,0.5,random,8,0.097548,0.042419,0.166384,0.078521,0.228415,0.116345,0.0
scalefree,0.05,random,8,0.097548,0.042419,0.108103,0.046136,0.119159,0.051043,0.0
scalefree,0.1,random,8,0.097548,0.042419,0.11852,0.049642,0.140273,0.059909,0.0
scalefree,0.2,random,8,0.097548,0.042419,0.139484,0.057414,0.181742,0.079357,0.0
scalefree,0.5,random,8,0.097548,0.042419,0.20122,0.086058,0.307323,0.144871,0.0
