network_type,target_kappa_eff,init_mode,seed,alpha_on_kappa_bare,alpha_off_kappa_bare,alpha_on_kappa_eff,alpha_off_kappa_eff,kappa_eff_ratio_on_over_off,alpha_on_initial_CI,alpha_off_initial_CI,alpha_on_mean_CI,alpha_off_mean_CI,mean_CI_delta_on_minus_off,alpha_on_final_CI,alpha_off_final_CI,alpha_on_success,alpha_off_success,trajectories_match_prediction
meanfield,0.05,random,3,0.00036487,0.05,0.05,0.05,1.0,0.071065,0.071065,0.069779,0.069779,0.0,0.068524,0.068524,False,False,True
meanfield,0.05,random,5,0.00036487,0.05,0.05,0.05,1.0,0.033844,0.033844,0.033534,0.033534,0.0,0.035702,0.035702,False,False,True
meanfield,0.05,random,12,0.00036487,0.05,0.05,0.05,1.0,0.133231,0.133231,0.147207,0.147207,0.0,0.161779,0.161779,False,False,True
meanfield,0.05,random,17,0.00036487,0.05,0.05,0.05,1.0,0.163877,0.163877,0.173769,0.173769,0.0,0.183999,0.183999,False,False,True
meanfield,0.05,near_sync,3,0.00036487,0.05,0.05,0.05,1.0,0.987302,0.987302,0.988249,0.988249,0.0,0.987265,0.987265,True,True,True
meanfield,0.05,near_sync,5,0.00036487,0.05,0.05,0.05,1.0,0.99127,0.99127,0.991913,0.991913,0.0,0.990515,0.990515,True,True,True
meanfield,0.05,near_sync,12,0.00036487,0.05,0.05,0.05,1.0,0.990675,0.990675,0.991565,0.991565,0.0,0.990535,0.990535,True,True,True
meanfield,0.05,near_sync,17,0.00036487,0.05,0.05,0.05,1.0,0.987046,0.987046,0.988706,0.988706,0.0,0.988102,0.988102,True,True,True
meanfield,0.1,random,3,0.00072974,0.1,0.1,0.1,1.0,0.071065,0.071065,0.074704,0.074704,0.0,0.078604,0.078604,False,False,True
meanfield,0.1,random,5,0.00072974,0.1,0.1,0.1,1.0,0.033844,0.033844,0.035975,0.035975,0.0,0.040854,0.040854,False,False,True
meanfield,0.1,random,12,0.00072974,0.1,0.1,0.1,1.0,0.133231,0.133231,0.159525,0.159525,0.0,0.18847,0.18847,False,False,True
meanfield,0.1,random,17,0.00072974,0.1,0.1,0.1,1.0,0.163877,0.163877,0.187165,0.187165,0.0,0.212258,0.212258,False,False,True
meanfield,0.1,near_sync,3,0.00072974,0.1,0.1,0.1,1.0,0.987302,0.987302,0.990802,0.990802,0.0,0.991838,0.991838,True,True,True
meanfield,0.1,near_sync,5,0.00072974,0.1,0.1,0.1,1.0,0.99127,0.99127,0.99365,0.99365,0.0,0.993725,0.993725,True,True,True
meanfield,0.1,near_sync,12,0.00072974,0.1,0.1,0.1,1.0,0.990675,0.990675,0.993386,0.993386,0.0,0.993819,0.993819,True,True,True
meanfield,0.1,near_sync,17,0.00072974,0.1,0.1,0.1,1.0,0.987046,0.987046,0.991152,0.991152,0.0,0.992371,0.992371,True,True,True
meanfield,0.2,random,3,0.00145947,0.2,0.2,0.2,1.0,0.071065,0.071065,0.085953,0.085953,0.0,0.103134,0.103134,False,False,True
meanfield,0.2,random,5,0.00145947,0.2,0.2,0.2,1.0,0.033844,0.033844,0.041613,0.041613,0.0,0.053645,0.053645,False,False,True
meanfield,0.2,random,12,0.00145947,0.2,0.2,0.2,1.0,0.133231,0.133231,0.188077,0.188077,0.0,0.254301,0.254301,False,False,True
meanfield,0.2,random,17,0.00145947,0.2,0.2,0.2,1.0,0.163877,0.163877,0.217515,0.217515,0.0,0.279686,0.279686,False,False,True
meanfield,0.2,near_sync,3,0.00145947,0.2,0.2,0.2,1.0,0.987302,0.987302,0.99397,0.99397,0.0,0.996334,0.996334,True,True,True
meanfield,0.2,near_sync,5,0.00145947,0.2,0.2,0.2,1.0,0.99127,0.99127,0.995803,0.995803,0.0,0.996945,0.996945,True,True,True
meanfield,0.2,near_sync,12,0.00145947,0.2,0.2,0.2,1.0,0.990675,0.990675,0.995635,0.995635,0.0,0.997069,0.997069,True,True,True
meanfield,0.2,near_sync,17,0.00145947,0.2,0.2,0.2,1.0,0.987046,0.987046,0.994169,0.994169,0.0,0.996522,0.996522,True,True,True
meanfield,0.5,random,3,0.00364868,0.5,0.5,0.5,1.0,0.071065,0.071065,0.134491,0.134491,0.0,0.22671,0.22671,False,False,True
meanfield,0.5,random,5,0.00364868,0.5,0.5,0.5,1.0,0.033844,0.033844,0.066799,0.066799,0.0,0.122044,0.122044,False,False,True
